English	French (Pronunciation)
Where is the bathroom?	Où sont les toilettes? (oo sohn lay twah-LET)
How much does this cost?	Combien ça coûte? (kohm-BYEHN sah KOOT)
I don't understand	Je ne comprends pas (zhuh nuh kohm-PRAHN pah)
Can you help me?	Pouvez-vous m'aider? (poo-vay VOO may-DAY)
I would like...	Je voudrais... (zhuh voo-DREH)
The check please	L'addition s'il vous plaît (lah-dee-SYOHN seel voo PLEH)
Do you speak English?	Parlez-vous anglais? (par-lay VOO ahn-GLEH)
I'm lost	Je suis perdu (zhuh swee pehr-DEW)
What time is it?	Quelle heure est-il? (kehl uhr eh-TEEL)
Nice to meet you	Enchanté (ahn-shahn-TAY)
I need a doctor	J'ai besoin d'un médecin (zhay buh-ZWAHN duhn mayd-SEHN)
Where is the train station?	Où est la gare? (oo eh lah GAHR)
Can I have the menu?	Puis-je avoir le menu? (pweezh ah-VWAHR luh muh-NEW)
I have a reservation	J'ai une réservation (zhay oon ray-zehr-vah-SYOHN)
What do you recommend?	Que recommandez-vous? (kuh reh-koh-mahn-day VOO)
Is this seat taken?	Ce siège est-il pris? (suh SYEZH eh-TEEL PREE)
I'm allergic to...	Je suis allergique à... (zhuh swee ah-lehr-ZHEEK ah)
It was delicious	C'était délicieux (say-teh day-lee-SYUH)
See you later	À plus tard (ah ploo TAHR)
Have a nice day	Bonne journée (bun zhoor-NAY)
I'm just looking	Je regarde seulement (zhuh ruh-GAHRD suhl-MAHN)
Could you repeat that?	Pourriez-vous répéter? (poo-ryay VOO ray-pay-TAY)
I'm here on vacation	Je suis en vacances (zhuh swee zahn vah-KAHNS)
Where can I find...?	Où puis-je trouver...? (oo pweezh troo-VAY)
This is an emergency	C'est une urgence (seh toon oor-ZHAHNS)
Can I pay with card?	Puis-je payer par carte? (pweezh pay-YAY par KART)
I need a taxi	J'ai besoin d'un taxi (zhay buh-ZWAHN duhn tahk-SEE)
How far is it?	C'est loin? (say LWAHN)
Turn left	Tournez à gauche (toor-NAY ah GOHSH)
Turn right	Tournez à droite (toor-NAY ah DRWAHT)
Go straight	Allez tout droit (ah-LAY too DRWAH)
Stop here please	Arrêtez-vous ici s'il vous plaît (ah-reh-TAY voo ee-SEE seel voo PLEH)
I don't eat meat	Je ne mange pas de viande (zhuh nuh MAHNZH pah duh vee-AHND)
Is there WiFi?	Y a-t-il du WiFi? (ee ah-TEEL dew WY-fy)
What is the password?	Quel est le mot de passe? (kehl eh luh MOH duh PAHS)
Can I take a photo?	Puis-je prendre une photo? (pweezh PRAHN-druh oon foh-TOH)
Where is the exit?	Où est la sortie? (oo eh lah sor-TEE)
I need help	J'ai besoin d'aide (zhay buh-ZWAHN DEHD)
Call the police	Appelez la police (ah-puh-LAY lah poh-LEES)
I lost my passport	J'ai perdu mon passeport (zhay pehr-DEW mohn pahs-POR)
Where is the pharmacy?	Où est la pharmacie? (oo eh lah far-mah-SEE)
I feel sick	Je me sens mal (zhuh muh SAHN mahl)
Can you write it down?	Pouvez-vous l'écrire? (poo-vay VOO lay-KREER)
Speak more slowly please	Parlez plus lentement s'il vous plaît (par-LAY ploo lahnt-MAHN seel voo PLEH)
What does this mean?	Qu'est-ce que ça veut dire? (kehs-kuh sah vuh DEER)
I'm looking for...	Je cherche... (zhuh SHEHRSH)
Do you have...?	Avez-vous...? (ah-vay VOO)
How do I get to...?	Comment aller à...? (koh-MAHN ah-LAY ah)
Is it nearby?	C'est près d'ici? (say PREH dee-SEE)
I'll take this one	Je prends celui-ci (zhuh PRAHN suh-LWEE-see)
