English	Turkish (Pronunciation)
Where is the bathroom?	Tuvalet nerede? (too-vah-LET neh-reh-DEH)
How much does this cost?	Bu ne kadar? (BOO neh kah-DAHR)
I don't understand	Anlamıyorum (ahn-lah-muh-yoh-ROOM)
Can you help me?	Bana yardım edebilir misiniz? (bah-NAH yar-DUHM eh-deh-bee-LEER mee-see-NEEZ)
I would like...	...istiyorum (...ees-tee-yoh-ROOM)
The check please	Hesap lütfen (heh-SAHP LOOT-fen)
Do you speak English?	İngilizce biliyor musunuz? (een-gee-LEEZ-jeh bee-lee-YOHR moo-soo-NOOZ)
I'm lost	Kayboldum (ky-bohl-DOOM)
What time is it?	Saat kaç? (SAH-aht KAHCH)
Nice to meet you	Memnun oldum (mem-NOON ohl-DOOM)
I need a doctor	Doktora ihtiyacım var (dohk-toh-RAH eeh-tee-yah-JUHM VAHR)
Where is the train station?	Tren istasyonu nerede? (TREN ees-tahs-YOH-noo neh-reh-DEH)
Can I have the menu?	Menüyü alabilir miyim? (meh-noo-YOO ah-lah-bee-LEER mee-YEEM)
I have a reservation	Rezervasyonum var (reh-zehr-vahs-yoh-NOOM VAHR)
What do you recommend?	Ne tavsiye edersiniz? (NEH tahv-see-YEH eh-dehr-see-NEEZ)
Is this seat taken?	Bu yer boş mu? (BOO YEHR bohsh MOO)
I'm allergic to...	...alerjim var (...ah-lehr-JEEM VAHR)
It was delicious	Çok lezzetliydi (CHOHK lehz-zeht-lee-DEE)
See you later	Görüşürüz (goh-roo-shoo-ROOZ)
Have a nice day	İyi günler (ee-YEE goon-LEHR)
I'm just looking	Sadece bakıyorum (sah-deh-JEH bah-kuh-yoh-ROOM)
Could you repeat that?	Tekrar eder misiniz? (tek-RAHR eh-DEHR mee-see-NEEZ)
I'm here on vacation	Tatil için buradayım (tah-TEEL ee-CHEEN boo-rah-dah-YUHM)
Where can I find...?	...nerede bulabilirim? (...neh-reh-DEH boo-lah-bee-lee-REEM)
This is an emergency	Bu bir acil durum (BOO beer ah-JEEL doo-ROOM)
Can I pay with card?	Kartla ödeyebilir miyim? (KAHRT-lah oh-deh-yeh-bee-LEER mee-YEEM)
I need a taxi	Taksiye ihtiyacım var (tahk-see-YEH eeh-tee-yah-JUHM VAHR)
How far is it?	Ne kadar uzak? (NEH kah-DAHR oo-ZAHK)
Turn left	Sola dönün (soh-LAH doh-NOON)
Turn right	Sağa dönün (sah-AH doh-NOON)
Go straight	Düz gidin (DOOZ gee-DEEN)
Stop here please	Burada durun lütfen (boo-rah-DAH doo-ROON LOOT-fen)
I don't eat meat	Et yemiyorum (EHT yeh-mee-yoh-ROOM)
Is there WiFi?	WiFi var mı? (WY-fy VAHR muh)
What is the password?	Şifre ne? (shee-FREH NEH)
Can I take a photo?	Fotoğraf çekebilir miyim? (foh-toh-RAHF cheh-keh-bee-LEER mee-YEEM)
Where is the exit?	Çıkış nerede? (chuh-KUHSH neh-reh-DEH)
I need help	Yardıma ihtiyacım var (yar-duh-MAH eeh-tee-yah-JUHM VAHR)
Call the police	Polisi arayın (poh-lee-SEE ah-rah-YUHN)
I lost my passport	Pasaportumu kaybettim (pah-sah-pohr-too-MOO ky-bet-TEEM)
Where is the pharmacy?	Eczane nerede? (ehj-zah-NEH neh-reh-DEH)
I feel sick	Kendimi iyi hissetmiyorum (ken-dee-MEE ee-YEE hees-seht-mee-yoh-ROOM)
Can you write it down?	Yazabilir misiniz? (yah-zah-bee-LEER mee-see-NEEZ)
Speak more slowly please	Daha yavaş konuşun lütfen (dah-HAH yah-VAHSH koh-noo-SHOON LOOT-fen)
What does this mean?	Bu ne anlama geliyor? (BOO NEH ahn-lah-MAH geh-lee-YOHR)
I'm looking for...	...arıyorum (...ah-ruh-yoh-ROOM)
Do you have...?	...var mı? (...VAHR muh)
How do I get to...?	...nasıl gidebilirim? (...nah-SUHL gee-deh-bee-lee-REEM)
Is it nearby?	Yakın mı? (yah-KUHN muh)
I'll take this one	Bunu alacağım (boo-NOO ah-lah-jah-UHM)
