English	Arabic (Pronunciation)
Where is the bathroom?	أين الحمام؟ - Ayn al-hammam? (AIN ahl-hahm-MAHM)
How much does this cost?	بكم هذا؟ - Bikam hatha? (bee-KAHM HAH-thah)
I don't understand	لا أفهم - La afham (LAH AHF-hahm)
Can you help me?	هل يمكنك مساعدتي؟ - Hal yumkinuk musa'adati? (HAHL yoom-kee-NOOK moo-sah-ah-DAH-tee)
I would like...	أريد... - Urid... (oo-REED)
The check please	الحساب من فضلك - Al-hisab min fadlak (ahl-hee-SAHB meen FAHD-lahk)
Do you speak English?	هل تتكلم الإنجليزية؟ - Hal tatakallam al-inkliziyya? (HAHL tah-tah-KAHL-lahm ahl-een-glee-ZEE-yah)
I'm lost	أنا تائه - Ana ta'ih (AH-nah TAH-eeh)
What time is it?	كم الساعة؟ - Kam al-sa'a? (KAHM ahl-SAH-ah)
Nice to meet you	تشرفت بمعرفتك - Tasharraftu bima'rifatik (tah-SHAH-rahf-too bee-mah-ree-FAH-teek)
I need a doctor	أحتاج طبيب - Ahtaj tabib (ahh-TAHJ tah-BEEB)
Where is the train station?	أين محطة القطار؟ - Ayn mahattat al-qitar? (AIN mah-HAHT-taht ahl-kee-TAHR)
Can I have the menu?	هل يمكنني رؤية القائمة؟ - Hal yumkinuni ru'yat al-qa'ima? (HAHL yoom-kee-NOO-nee ROO-yaht ahl-KAH-ee-mah)
I have a reservation	لدي حجز - Ladayya hajz (lah-DAI-yah HAHJ-z)
What do you recommend?	ماذا تنصح؟ - Matha tansah? (MAH-thah TAHN-sah)
Is this seat taken?	هل هذا المقعد محجوز؟ - Hal hatha al-maq'ad mahjuz? (HAHL HAH-thah ahl-MAHK-ahd mahh-JOOZ)
I'm allergic to...	أنا أعاني من حساسية ل... - Ana u'ani min hasasiyya li... (AH-nah oo-AH-nee meen hah-sah-SEE-yah lee)
It was delicious	كان لذيذا - Kan lathithan (KAHN lah-THEE-thahn)
See you later	أراك لاحقا - Arak lahiqan (AH-rahk LAH-hee-kahn)
Have a nice day	يوما سعيدا - Yawman sa'idan (YOW-mahn sah-EE-dahn)
I'm just looking	أنا أتفرج فقط - Ana atfarraj faqat (AH-nah aht-FAHR-rahj FAH-kaht)
Could you repeat that?	هل يمكنك إعادة ذلك؟ - Hal yumkinuk i'adat thalik? (HAHL yoom-kee-NOOK ee-AH-daht THAH-leek)
I'm here on vacation	أنا هنا في إجازة - Ana huna fi ijaza (AH-nah HOO-nah fee ee-JAH-zah)
Where can I find...?	أين يمكنني أن أجد...؟ - Ayn yumkinuni an ajid...? (AIN yoom-kee-NOO-nee AHN AH-jeed)
This is an emergency	هذه حالة طوارئ - Hathihi halat tawari' (HAH-thee-hee HAH-laht tah-WAH-ree)
Can I pay with card?	هل يمكنني الدفع بالبطاقة؟ - Hal yumkinuni al-daf' bil-bitaqa? (HAHL yoom-kee-NOO-nee ahl-DAHF beel-bee-TAH-kah)
I need a taxi	أحتاج تاكسي - Ahtaj taksi (ahh-TAHJ TAHK-see)
How far is it?	كم يبعد؟ - Kam yab'ud? (KAHM yah-BOOD)
Turn left	انعطف يسارا - In'atif yasaran (een-ah-TEEF yah-SAH-rahn)
Turn right	انعطف يمينا - In'atif yaminan (een-ah-TEEF yah-MEE-nahn)
Go straight	امش مباشرة - Imshi mubashara (EEM-shee moo-BAH-shah-rah)
Stop here please	توقف هنا من فضلك - Tawaqqaf huna min fadlak (tah-WAHK-kahf HOO-nah meen FAHD-lahk)
I don't eat meat	أنا لا آكل اللحم - Ana la akul al-lahm (AH-nah LAH AH-kool ahl-LAHM)
Is there WiFi?	هل يوجد واي فاي؟ - Hal yujad WiFi? (HAHL yoo-JAHD WY-fy)
What is the password?	ما هي كلمة السر؟ - Ma hiya kalimat al-sirr? (MAH HEE-yah kah-lee-MAHT ahl-SEER)
Can I take a photo?	هل يمكنني التقاط صورة؟ - Hal yumkinuni iltiqat sura? (HAHL yoom-kee-NOO-nee eel-tee-KAHT SOO-rah)
Where is the exit?	أين المخرج؟ - Ayn al-makhraj? (AIN ahl-MAHKH-rahj)
I need help	أحتاج مساعدة - Ahtaj musa'ada (ahh-TAHJ moo-SAH-ah-dah)
Call the police	اتصل بالشرطة - Ittasil bil-shurta (eet-TAH-seel beel-SHOOR-tah)
I lost my passport	فقدت جواز سفري - Faqadtu jawaz safari (fah-KAHD-too jah-WAHZ SAH-fah-ree)
Where is the pharmacy?	أين الصيدلية؟ - Ayn al-saydaliyya? (AIN ahl-say-dah-LEE-yah)
I feel sick	أشعر بالمرض - Ash'ur bil-marad (AHSH-oor beel-mah-RAHD)
Can you write it down?	هل يمكنك كتابة ذلك؟ - Hal yumkinuk kitabat thalik? (HAHL yoom-kee-NOOK kee-TAH-baht THAH-leek)
Speak more slowly please	تكلم ببطء من فضلك - Takallam bibut' min fadlak (tah-KAHL-lahm bee-BOOT meen FAHD-lahk)
What does this mean?	ماذا يعني هذا؟ - Matha ya'ni hatha? (MAH-thah YAH-nee HAH-thah)
I'm looking for...	أنا أبحث عن... - Ana abhath 'an... (AH-nah AHB-hahth AHN)
Do you have...?	هل لديك...؟ - Hal ladayk...? (HAHL lah-DIKE)
How do I get to...?	كيف أصل إلى...؟ - Kayf asil ila...? (KAYF AH-seel ee-LAH)
Is it nearby?	هل هو قريب؟ - Hal huwa qarib? (HAHL HOO-wah kah-REEB)
I'll take this one	سآخذ هذا - Sa'akhuth hatha (sah-AH-khoothah HAH-thah)
