English	Dutch (Pronunciation)
Where is the bathroom?	Waar is het toilet? (VAHR is het twah-LET)
How much does this cost?	Hoeveel kost dit? (HOO-fayl KOHST dit)
I don't understand	Ik begrijp het niet (ik buh-KHRAYP het NEET)
Can you help me?	Kunt u mij helpen? (KUNT oo may HEL-pun)
I would like...	Ik wil graag... (ik VIL khrahkh)
The check please	De rekening alstublieft (duh RAY-kuh-ning ahls-too-BLEEFT)
Do you speak English?	Spreekt u Engels? (SPRAYKT oo ENG-uhls)
I'm lost	Ik ben verdwaald (ik ben ver-DVAHLT)
What time is it?	Hoe laat is het? (HOO laht is HET)
Nice to meet you	Aangenaam (AHN-khuh-nahm)
I need a doctor	Ik heb een dokter nodig (ik HEP un DOHK-ter NOH-dikh)
Where is the train station?	Waar is het station? (VAHR is het stah-SYOHN)
Can I have the menu?	Mag ik de menukaart? (MAHKH ik duh meh-NOO-kahrt)
I have a reservation	Ik heb een reservering (ik HEP un reh-ser-VAY-ring)
What do you recommend?	Wat raadt u aan? (VAHT rahdt oo AHN)
Is this seat taken?	Is deze plaats bezet? (is DAY-zuh PLAHTS buh-ZET)
I'm allergic to...	Ik ben allergisch voor... (ik ben ah-LER-khees fohr)
It was delicious	Het was heerlijk (het VAHS HAYR-luhk)
See you later	Tot later (toht LAH-ter)
Have a nice day	Fijne dag (FAY-nuh DAHKH)
I'm just looking	Ik kijk alleen (ik KAYK ah-LAYN)
Could you repeat that?	Kunt u dat herhalen? (KUNT oo daht her-HAH-lun)
I'm here on vacation	Ik ben hier op vakantie (ik ben HEER op vah-KAHN-see)
Where can I find...?	Waar kan ik...vinden? (VAHR kahn ik...FIN-dun)
This is an emergency	Dit is een noodgeval (dit is un NOHT-khuh-fahl)
Can I pay with card?	Kan ik met kaart betalen? (KAHN ik met KAHRT buh-TAH-lun)
I need a taxi	Ik heb een taxi nodig (ik HEP un TAHK-see NOH-dikh)
How far is it?	Hoe ver is het? (HOO FEHR is HET)
Turn left	Sla linksaf (SLAH LINKS-ahf)
Turn right	Sla rechtsaf (SLAH REKHTS-ahf)
Go straight	Ga rechtdoor (KHAH REKHT-dohr)
Stop here please	Stop hier alstublieft (STOP heer ahls-too-BLEEFT)
I don't eat meat	Ik eet geen vlees (ik AYT khayn FLAYS)
Is there WiFi?	Is er WiFi? (is er WY-fy)
What is the password?	Wat is het wachtwoord? (VAHT is het VAHKHT-vohrt)
Can I take a photo?	Mag ik een foto maken? (MAHKH ik un FOH-toh MAH-kun)
Where is the exit?	Waar is de uitgang? (VAHR is duh OWT-khahng)
I need help	Ik heb hulp nodig (ik HEP HULP NOH-dikh)
Call the police	Bel de politie (BEL duh poh-LEE-see)
I lost my passport	Ik ben mijn paspoort kwijt (ik ben mayn PAHS-pohrt KVAYT)
Where is the pharmacy?	Waar is de apotheek? (VAHR is duh ah-poh-TAYK)
I feel sick	Ik voel me niet lekker (ik FOOL muh neet LEK-ker)
Can you write it down?	Kunt u het opschrijven? (KUNT oo het OP-skhray-vun)
Speak more slowly please	Spreek alstublieft langzamer (SPRAYK ahls-too-BLEEFT LAHNG-zah-mer)
What does this mean?	Wat betekent dit? (VAHT buh-TAY-kent DIT)
I'm looking for...	Ik zoek... (ik ZOOK)
Do you have...?	Heeft u...? (HAYFT oo)
How do I get to...?	Hoe kom ik bij...? (HOO kom ik BAY)
Is it nearby?	Is het dichtbij? (is het DIKHT-bay)
I'll take this one	Ik neem deze (ik NAYM DAY-zuh)
