English	German (Pronunciation)
Where is the bathroom?	Wo ist die Toilette? (voh ist dee toy-LET-tuh)
How much does this cost?	Wie viel kostet das? (vee FEEL KOS-tet dahs)
I don't understand	Ich verstehe nicht (ikh fer-SHTAY-uh nikht)
Can you help me?	Können Sie mir helfen? (KUN-nen zee meer HEL-fen)
I would like...	Ich möchte... (ikh MUKH-tuh)
The check please	Die Rechnung bitte (dee REKH-noong BIT-tuh)
Do you speak English?	Sprechen Sie Englisch? (SHPREKH-en zee ENG-lish)
I'm lost	Ich habe mich verlaufen (ikh HAH-buh mikh fer-LOW-fen)
What time is it?	Wie spät ist es? (vee SHPAYT ist es)
Nice to meet you	Freut mich (froyt mikh)
I need a doctor	Ich brauche einen Arzt (ikh BROW-khuh EYE-nen artst)
Where is the train station?	Wo ist der Bahnhof? (voh ist der BAHN-hohf)
Can I have the menu?	Kann ich die Speisekarte haben? (kahn ikh dee SHPY-zuh-kar-tuh HAH-ben)
I have a reservation	Ich habe eine Reservierung (ikh HAH-buh EYE-nuh reh-zer-VEE-roong)
What do you recommend?	Was empfehlen Sie? (vahs emp-FAY-len zee)
Is this seat taken?	Ist dieser Platz frei? (ist DEE-zer plahts fry)
I'm allergic to...	Ich bin allergisch gegen... (ikh bin ah-LER-gish GAY-gen)
It was delicious	Es war köstlich (es vahr KUST-likh)
See you later	Bis später (bis SHPAY-ter)
Have a nice day	Schönen Tag noch (SHUR-nen tahk nokh)
I'm just looking	Ich schaue nur (ikh SHOW-uh noor)
Could you repeat that?	Könnten Sie das wiederholen? (KUN-ten zee dahs VEE-der-hoh-len)
I'm here on vacation	Ich bin im Urlaub hier (ikh bin im OOR-lowp heer)
Where can I find...?	Wo finde ich...? (voh FIN-duh ikh)
This is an emergency	Dies ist ein Notfall (dees ist eyen NOHT-fahl)
Can I pay with card?	Kann ich mit Karte zahlen? (kahn ikh mit KAR-tuh TSAH-len)
I need a taxi	Ich brauche ein Taxi (ikh BROW-khuh eyen TAHK-see)
How far is it?	Wie weit ist es? (vee VYTE ist es)
Turn left	Biegen Sie links ab (BEE-gen zee LINKS ahp)
Turn right	Biegen Sie rechts ab (BEE-gen zee REKHTS ahp)
Go straight	Gehen Sie geradeaus (GAY-en zee geh-RAH-deh-ows)
Stop here please	Halten Sie hier bitte (HAHL-ten zee heer BIT-tuh)
I don't eat meat	Ich esse kein Fleisch (ikh ES-suh kyne FLYSH)
Is there WiFi?	Gibt es WLAN? (gipt es VAY-lahn)
What is the password?	Wie lautet das Passwort? (vee LOW-tet dahs PAHS-vort)
Can I take a photo?	Darf ich ein Foto machen? (dahrf ikh eyen FOH-toh MAHKH-en)
Where is the exit?	Wo ist der Ausgang? (voh ist der OWS-gahng)
I need help	Ich brauche Hilfe (ikh BROW-khuh HIL-fuh)
Call the police	Rufen Sie die Polizei (ROO-fen zee dee poh-lee-TSYE)
I lost my passport	Ich habe meinen Pass verloren (ikh HAH-buh MY-nen PAHS fer-LOH-ren)
Where is the pharmacy?	Wo ist die Apotheke? (voh ist dee ah-poh-TAY-kuh)
I feel sick	Mir ist schlecht (meer ist SHLEKHT)
Can you write it down?	Können Sie das aufschreiben? (KUN-nen zee dahs OWF-shry-ben)
Speak more slowly please	Sprechen Sie bitte langsamer (SHPREKH-en zee BIT-tuh LAHNG-zah-mer)
What does this mean?	Was bedeutet das? (vahs beh-DOY-tet dahs)
I'm looking for...	Ich suche... (ikh ZOO-khuh)
Do you have...?	Haben Sie...? (HAH-ben zee)
How do I get to...?	Wie komme ich zu...? (vee KOM-muh ikh tsoo)
Is it nearby?	Ist es in der Nähe? (ist es in der NAY-uh)
I'll take this one	Ich nehme dieses (ikh NAY-muh DEE-zehs)
