English	Greek (Pronunciation)
Where is the bathroom?	Πού είναι η τουαλέτα; - Pou einai i toualeta? (POO EE-neh ee too-ah-LEH-tah)
How much does this cost?	Πόσο κάνει αυτό; - Poso kanei afto? (POH-soh KAH-nee ahf-TOH)
I don't understand	Δεν καταλαβαίνω - Den katalavaino (DHEN kah-tah-lah-VEH-noh)
Can you help me?	Μπορείτε να με βοηθήσετε; - Boreite na me voithisete? (boh-REE-teh nah meh voh-ee-THEE-seh-teh)
I would like...	Θα ήθελα... - Tha ithela... (THAH EE-theh-lah)
The check please	Τον λογαριασμό παρακαλώ - Ton logariasmo parakalo (ton loh-gah-ree-ahz-MOH pah-rah-kah-LOH)
Do you speak English?	Μιλάτε αγγλικά; - Milate anglika? (mee-LAH-teh ahng-lee-KAH)
I'm lost	Έχασα τον δρόμο - Echasa ton dromo (EH-khah-sah ton DHROH-moh)
What time is it?	Τι ώρα είναι; - Ti ora einai? (TEE OH-rah EE-neh)
Nice to meet you	Χάρηκα - Charika (KHAH-ree-kah)
I need a doctor	Χρειάζομαι γιατρό - Chriazomei giatro (khree-AH-zoh-meh yah-TROH)
Where is the train station?	Πού είναι ο σταθμός; - Pou einai o stathmos? (POO EE-neh oh stahth-MOHS)
Can I have the menu?	Μπορώ να έχω το μενού; - Boro na echo to menou? (boh-ROH nah EH-khoh toh meh-NOO)
I have a reservation	Έχω κράτηση - Echo kratisi (EH-khoh KRAH-tee-see)
What do you recommend?	Τι προτείνετε; - Ti proteinete? (TEE proh-TEE-neh-teh)
Is this seat taken?	Είναι πιασμένη αυτή η θέση; - Einai piasmeni afti i thesi? (EE-neh pee-ahz-MEH-nee ahf-TEE ee THEH-see)
I'm allergic to...	Είμαι αλλεργικός σε... - Eimai allergikos se... (EE-may ah-lehr-yee-KOHS seh)
It was delicious	Ήταν νόστιμο - Itan nostimo (EE-tahn NOH-stee-moh)
See you later	Τα λέμε - Ta leme (tah LEH-meh)
Have a nice day	Καλή σας μέρα - Kali sas mera (kah-LEE sahs MEH-rah)
I'm just looking	Απλά κοιτάζω - Apla kitazo (ahp-LAH kee-TAH-zoh)
Could you repeat that?	Μπορείτε να επαναλάβετε; - Boreite na epanalavete? (boh-REE-teh nah eh-pah-nah-LAH-veh-teh)
I'm here on vacation	Είμαι εδώ για διακοπές - Eimai edo gia diakopes (EE-may eh-DHOH yah dhee-ah-koh-PES)
Where can I find...?	Πού μπορώ να βρω...; - Pou boro na vro...? (POO boh-ROH nah VROH)
This is an emergency	Είναι επείγον - Einai epeigon (EE-neh eh-PEE-gohn)
Can I pay with card?	Μπορώ να πληρώσω με κάρτα; - Boro na pliroso me karta? (boh-ROH nah plee-ROH-soh meh KAR-tah)
I need a taxi	Χρειάζομαι ταξί - Chriazomei taxi (khree-AH-zoh-meh tahk-SEE)
How far is it?	Πόσο μακριά είναι; - Poso makria einai? (POH-soh mah-KREE-ah EE-neh)
Turn left	Στρίψτε αριστερά - Stripste aristera (STREEP-steh ah-ree-steh-RAH)
Turn right	Στρίψτε δεξιά - Stripste dexia (STREEP-steh dhek-see-AH)
Go straight	Συνεχίστε ευθεία - Synechiste eftheia (see-neh-KHEE-steh ef-THEE-ah)
Stop here please	Σταματήστε εδώ παρακαλώ - Stamatiste edo parakalo (stah-mah-TEE-steh eh-DHOH pah-rah-kah-LOH)
I don't eat meat	Δεν τρώω κρέας - Den troo kreas (DHEN TROH-oh KREH-ahs)
Is there WiFi?	Υπάρχει WiFi; - Yparchei WiFi? (ee-PAR-khee WY-fy)
What is the password?	Ποιος είναι ο κωδικός; - Pios einai o kodikos? (PYOHS EE-neh oh koh-dhee-KOHS)
Can I take a photo?	Μπορώ να βγάλω φωτογραφία; - Boro na vgalo fotografia? (boh-ROH nah VGAH-loh foh-toh-grah-FEE-ah)
Where is the exit?	Πού είναι η έξοδος; - Pou einai i exodos? (POO EE-neh ee EK-soh-dhohs)
I need help	Χρειάζομαι βοήθεια - Chriazomei voitheia (khree-AH-zoh-meh voh-EE-thee-ah)
Call the police	Καλέστε την αστυνομία - Kaleste tin astynomia (kah-LEH-steh teen ah-stee-noh-MEE-ah)
I lost my passport	Έχασα το διαβατήριό μου - Echasa to diavatiryo mou (EH-khah-sah toh dhee-ah-vah-TEE-ryoh moo)
Where is the pharmacy?	Πού είναι το φαρμακείο; - Pou einai to farmakeio? (POO EE-neh toh fahr-mah-KEE-oh)
I feel sick	Αισθάνομαι άρρωστος - Aisthanomei arrostos (ehs-THAH-noh-meh AH-roh-stohs)
Can you write it down?	Μπορείτε να το γράψετε; - Boreite na to grapsete? (boh-REE-teh nah toh GRAHP-seh-teh)
Speak more slowly please	Μιλάτε πιο αργά παρακαλώ - Milate pio arga parakalo (mee-LAH-teh PYOH ar-GAH pah-rah-kah-LOH)
What does this mean?	Τι σημαίνει αυτό; - Ti simainei afto? (TEE see-MEH-nee ahf-TOH)
I'm looking for...	Ψάχνω για... - Psachno gia... (PSAHKH-noh YAH)
Do you have...?	Έχετε...; - Echete...? (EH-kheh-teh)
How do I get to...?	Πώς πάω στο...; - Pos pao sto...? (POHS PAH-oh stoh)
Is it nearby?	Είναι κοντά; - Einai konta? (EE-neh kohn-DAH)
I'll take this one	Θα πάρω αυτό - Tha paro afto (THAH PAH-roh ahf-TOH)
