English	Hindi (Pronunciation)
Hello	नमस्ते - Namaste (nah-mah-STAY)
Goodbye	अलविदा - Alvida (ahl-vee-DAH)
Please	कृपया - Kripya (KRIP-yah)
Thank you	धन्यवाद - Dhanyavaad (dhahn-yah-VAHD)
Yes	हाँ - Haan (HAHN)
No	नहीं - Nahin (nah-HEEN)
Good morning	सुप्रभात - Suprabhat (soo-prah-BHAHT)
Good afternoon	नमस्कार - Namaskar (nah-mahs-KAHR)
Good night	शुभ रात्रि - Shubh ratri (SHOOBH RAH-tree)
How are you?	आप कैसे हैं? - Aap kaise hain? (AHP KAY-say HAYN)
I'm fine	मैं ठीक हूँ - Main theek hoon (MAYN THEEK hoon)
Water	पानी - Paani (PAH-nee)
Food	खाना - Khaana (KHAH-nah)
Friend	दोस्त - Dost (DOHST)
Family	परिवार - Parivaar (pah-ree-VAHR)
Love	प्यार - Pyaar (PYAHR)
House	घर - Ghar (GHAR)
Work	काम - Kaam (KAHM)
Time	समय - Samay (sah-MAY)
Today	आज - Aaj (AAHJ)
Tomorrow	कल - Kal (KAHL)
Yesterday	कल - Kal (KAHL)
Money	पैसा - Paisa (PAY-sah)
Help	मदद - Madad (mah-DAHD)
Sorry	माफ़ कीजिए - Maaf kijiye (MAHF kee-jee-YEH)
Excuse me	सुनिए - Suniye (soo-nee-YEH)
Welcome	स्वागत है - Swagat hai (SWAH-gaht HAY)
One	एक - Ek (EHK)
Two	दो - Do (DOH)
Three	तीन - Teen (TEEN)
Four	चार - Chaar (CHAHR)
Five	पाँच - Paanch (PAHNCH)
Ten	दस - Das (DAHS)
Bathroom	बाथरूम - Bathroom (BAHTH-room)
Restaurant	रेस्तरां - Restaurant (res-tah-RAHN)
Hotel	होटल - Hotel (hoh-TEL)
Airport	हवाई अड्डा - Havai adda (hah-VAH-ee AHD-dah)
Train	ट्रेन - Train (TRAIN)
Bus	बस - Bus (BUS)
Taxi	टैक्सी - Taxi (TAHK-see)
Street	सड़क - Sadak (sah-DAHK)
Left	बाएँ - Baayen (BAH-yen)
Right	दाएँ - Daayen (DAH-yen)
Straight	सीधे - Seedhe (SEE-dheh)
Big	बड़ा - Bada (bah-DAH)
Small	छोटा - Chhota (CHHO-tah)
Hot	गर्म - Garam (GAH-rahm)
Cold	ठंडा - Thanda (THAHN-dah)
Good	अच्छा - Accha (AH-chhah)
Bad	बुरा - Bura (BOO-rah)
