English	Portuguese (Pronunciation)
Hello	Olá (oh-LAH)
Goodbye	Adeus (ah-DAY-oosh)
Please	Por favor (poor fah-VOR)
Thank you	Obrigado (oh-bree-GAH-doo)
Yes	Sim (SEEM)
No	Não (NOWNG)
Good morning	Bom dia (bohm JEE-ah)
Good afternoon	Boa tarde (BOH-ah TAR-jee)
Good night	Boa noite (BOH-ah NOY-chee)
How are you?	Como está? (KOH-moo esh-TAH)
I'm fine	Estou bem (esh-TOH baym)
Water	Água (AH-gwah)
Food	Comida (koh-MEE-dah)
Friend	Amigo (ah-MEE-goo)
Family	Família (fah-MEE-lyah)
Love	Amor (ah-MOR)
House	Casa (KAH-zah)
Work	Trabalho (trah-BAH-lyoo)
Time	Tempo (TEHM-poo)
Today	Hoje (OH-zhee)
Tomorrow	Amanhã (ah-mahn-YAH)
Yesterday	Ontem (OHN-taym)
Money	Dinheiro (deen-YAY-roo)
Help	Ajuda (ah-ZHOO-dah)
Sorry	Desculpe (desh-KOOL-peh)
Excuse me	Com licença (kohm lee-SEHN-sah)
Welcome	Bem-vindo (baym-VEEN-doo)
One	Um (OOM)
Two	Dois (DOYSH)
Three	Três (TRAYSH)
Four	Quatro (KWAH-troo)
Five	Cinco (SEEN-koo)
Ten	Dez (DEZH)
Bathroom	Banheiro (bahn-YAY-roo)
Restaurant	Restaurante (hesh-tow-RAHN-chee)
Hotel	Hotel (oh-TEL)
Airport	Aeroporto (ah-eh-roh-POR-too)
Train	Trem (TRAYM)
Bus	Ônibus (OH-nee-boosh)
Taxi	Táxi (TAHK-see)
Street	Rua (HOO-ah)
Left	Esquerda (esh-KEHR-dah)
Right	Direita (jee-RAY-tah)
Straight	Reto (HEH-too)
Big	Grande (GRAHN-jee)
Small	Pequeno (peh-KEH-noo)
Hot	Quente (KEHN-chee)
Cold	Frio (FREE-oo)
Good	Bom (BOHM)
Bad	Ruim (hoo-EEM)
