English	Thai (Pronunciation)
Hello	สวัสดี - Sawatdee (sah-waht-DEE)
Goodbye	ลาก่อน - La gon (LAH gohn)
Please	กรุณา - Karuna (gah-roo-NAH)
Thank you	ขอบคุณ - Khob khun (KOHP koon)
Yes	ใช่ - Chai (CHY)
No	ไม่ - Mai (MY)
Good morning	สวัสดีตอนเช้า - Sawatdee ton chao (sah-waht-DEE tohn CHOW)
Good afternoon	สวัสดีตอนบ่าย - Sawatdee ton bai (sah-waht-DEE tohn BY)
Good night	ราตรีสวัสดิ์ - Ratri sawat (rah-TREE sah-WAHT)
How are you?	สบายดีไหม - Sabai dee mai? (sah-BY dee MY)
I'm fine	สบายดี - Sabai dee (sah-BY DEE)
Water	น้ำ - Nam (NAHM)
Food	อาหาร - Ahan (ah-HAHN)
Friend	เพื่อน - Pheuan (FEUHN)
Family	ครอบครัว - Khrop khrua (KROP kroo-AH)
Love	รัก - Rak (RAHK)
House	บ้าน - Ban (BAHN)
Work	งาน - Ngan (NGAHN)
Time	เวลา - Wela (way-LAH)
Today	วันนี้ - Wan nee (WAHN NEE)
Tomorrow	พรุ่งนี้ - Phrung nee (PROONG NEE)
Yesterday	เมื่อวาน - Meuawan (meuh-ah-WAHN)
Money	เงิน - Ngern (NGERN)
Help	ช่วย - Chuay (CHOO-ay)
Sorry	ขอโทษ - Kho thot (KOH TOHT)
Excuse me	ขอโทษ - Kho thot (KOH TOHT)
Welcome	ยินดีต้อนรับ - Yin dee ton rap (yeen DEE tohn RAHP)
One	หนึ่ง - Nueng (NEUHNG)
Two	สอง - Song (SOHNG)
Three	สาม - Sam (SAHM)
Four	สี่ - See (SEE)
Five	ห้า - Ha (HAH)
Ten	สิบ - Sip (SIP)
Bathroom	ห้องน้ำ - Hong nam (HOHNG nahm)
Restaurant	ร้านอาหาร - Ran ahan (RAHN ah-HAHN)
Hotel	โรงแรม - Rong raem (ROHNG raem)
Airport	สนามบิน - Sanam bin (sah-NAHM bin)
Train	รถไฟ - Rot fai (ROHT fy)
Bus	รถบัส - Rot bat (ROHT baht)
Taxi	แท็กซี่ - Taxi (TAHK-see)
Street	ถนน - Thanon (tah-NOHN)
Left	ซ้าย - Sai (SY)
Right	ขวา - Khwa (KWAH)
Straight	ตรงไป - Trong pai (TRONG py)
Big	ใหญ่ - Yai (YY)
Small	เล็ก - Lek (LEK)
Hot	ร้อน - Ron (ROHN)
Cold	เย็น - Yen (YEN)
Good	ดี - Dee (DEE)
Bad	ไม่ดี - Mai dee (MY DEE)
